titolo,anno,voto_imdb,generi,regista,attori,trama
The Godfather,1972,9.2,"Crime, Drama",Francis Ford Coppola,"Marlon Brando, Al Pacino, James Caan",The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.
Full Metal Jacket,1987,8.2,"Drama, War",Stanley Kubrick,"Matthew Modine, R. Lee Ermey, Vincent D'Onofrio",A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the blood...
The Shining,1980,8.4,"Drama, Horror",Stanley Kubrick,"Jack Nicholson, Shelley Duvall, Danny Lloyd","A family heads to an isolated hotel for the winter, where a sinister presence influences the father into violence. At the same time, his psychic son s..."
2001: A Space Odyssey,1968,8.3,"Adventure, Sci-Fi",Stanley Kubrick,"Keir Dullea, Gary Lockwood, William Sylvester","When a mysterious artifact is uncovered on the Moon, a spacecraft manned by two humans and one supercomputer is sent to Jupiter to find its origins."
Apocalypse Now,1979,8.4,"Drama, Mystery, War",Francis Ford Coppola,"Martin Sheen, Marlon Brando, Robert Duvall",A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.
Blade Runner,1982,8.1,"Action, Drama, Sci-Fi",Ridley Scott,"Harrison Ford, Rutger Hauer, Sean Young",A blade runner must pursue and terminate four replicants who stole a ship in space and have returned to Earth to find their creator.
The Big Lebowski,1998,8.1,"Comedy, Crime","Joel Coen, Ethan Coen","Jeff Bridges, John Goodman, Julianne Moore","Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for his ruined rug and enlists his bowling buddies to help ge..."
Fight Club,1999,8.8,"Crime, Drama, Thriller",David Fincher,"Brad Pitt, Edward Norton, Meat Loaf",An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.
Inception,2010,8.8,"Action, Adventure, Sci-Fi",Christopher Nolan,"Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page",A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E....
Once Upon a Time in America,1984,8.3,"Crime, Drama",Sergio Leone,"Robert De Niro, James Woods, Elizabeth McGovern","A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan 35 years later, where he must once again confront the ghosts and ..."
Taxi Driver,1976,8.2,"Crime, Drama",Martin Scorsese,"Robert De Niro, Jodie Foster, Cybill Shepherd","A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent act..."
After Hours,1985,7.6,"Comedy, Crime, Drama",Martin Scorsese,"Griffin Dunne, Rosanna Arquette, Verna Bloom","Ordinary word processor Paul Hackett experiences the worst night of his life after he agrees to visit Marcy, a Soho resident that he met that evening ..."
